"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-03-22","61","90","48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-03-23","58",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-03-25","64",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-03-26","68",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-03-27","59","88","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-03-28","58",,"45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-03-29","55","81","50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-03-30","60",,"57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-03-31","62",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-05","61","73",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-07","47",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-08","62",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-10","68","86","45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-11","61","82",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-12","51",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-13","60",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-14","58",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-15","64",,"43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-16","53","77","43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-04-17","50",,"43"
